R,G,B,Soft,Dynamic,mood
193,230,212,3,0,맑은
255,255,255,3,0,맑은
246,246,246,3,0,맑은
230,245,238,3,1,맑은
248,248,212,3,1,맑은
181,225,234,3,-1,맑은
203,205,220,3,-1,맑은
231,181,96,3,3,귀여운
64,178,142,3,3,귀여운
250,233,29,3,3,귀여운
255,175,166,3,2,귀여운
252,239,109,3,2,귀여운
255,207,122,3,2,귀여운
169,208,53,2,3,귀여운
235,139,36,2,3,귀여운
246,235,21,2,3,귀여운
235,202,213,2,-2,mild
249,247,222,2,-2,mild
206,211,217,2,-2,mild
240,228,238,2,-3,mild
164,154,152,2,-3,mild
242,248,246,2,-3,mild
248,222,189,2,-2,mild
160,135,156,2,-2,mild
196,223,206,2,-2,mild
20,148,100,2,2,rhythmical
248,248,217,2,2,rhythmical
203,219,43,2,2,rhythmical
240,81,36,1,3,rhythmical
252,196,45,1,3,rhythmical
247,236,20,1,3,rhythmical
30,68,137,1,2,rhythmical
255,255,255,1,2,rhythmical
116,152,170,1,2,rhythmical
238,39,78,-1,3,rhythmical
251,244,156,-1,3,rhythmical
58,97,162,-1,3,rhythmical
219,230,210,2,1,natural
248,248,217,2,1,natural
233,225,185,2,1,natural
178,167,51,2,-1,natural
249,240,118,2,-1,natural
145,134,54,2,-1,natural
247,236,20,2,1,natural
184,109,41,2,1,natural
104,100,45,2,1,natural
145,134,54,2,-1,natural
247,247,247,2,-1,natural
180,145,101,2,-1,natural
104,106,82,1,-2,natural
155,168,136,1,-2,natural
89,111,50,1,-2,natural
245,127,33,-1,2,fancy
218,230,155,-1,2,fancy
29,54,68,-1,2,fancy
181,38,37,-1,2,fancy
145,134,54,-1,2,fancy
36,10,60,-1,2,fancy
45,17,64,-1,1,fancy
105,67,79,-1,1,fancy
195,167,160,-1,1,fancy
103,103,103,-1,-1,elegangt
199,166,139,-1,-1,elegangt
79,104,83,-1,-1,elegangt
161,152,149,-1,-2,elegangt
65,65,60,-1,-2,elegangt
136,155,145,-1,-2,elegangt
242,220,217,-1,-3,soft
214,160,136,-1,-3,soft
232,221,219,-1,-3,soft
204,34,37,-1,3,dynamic
1,1,1,-1,3,dynamic
245,127,33,-1,3,dynamic
59,144,86,-2,2,dynamic
249,240,111,-2,2,dynamic
66,86,129,-2,2,dynamic
30,68,137,-2,3,dynamic
216,33,38,-2,3,dynamic
216,33,38,-3,2,dynamic
31,44,91,-3,2,dynamic
248,249,248,-2,1,modern
41,14,62,-2,1,modern
92,98,92,-2,1,modern
121,33,22,-2,1,modern
136,155,145,-2,1,modern
22,41,70,-2,1,modern
30,30,30,-2,1,modern
247,247,247,-2,1,modern
15,65,57,-2,1,modern
31,44,91,-3,-1,modern
85,102,88,-3,-1,modern
49,49,49,-3,-1,modern
150,150,139,-3,-1,modern
31,44,91,-3,-1,modern
203,80,59,-1,-1,gentle
236,219,186,-1,-1,gentle
233,189,146,-1,-1,gentle
93,31,16,-2,-1,gentle
132,123,98,-2,-1,gentle
41,14,62,-2,-1,gentle
86,63,26,-2,-2,gentle
120,121,112,-2,-2,gentle
84,75,30,-2,-2,gentle
125,87,32,-1,-2,noble
197,183,141,-1,-2,noble
104,106,82,-1,-2,noble
65,65,60,-2,-2,noble
214,160,136,-2,-2,noble
176,188,161,-2,-2,noble
232,185,140,-1,-3,noble
248,248,217,-1,-3,noble
194,182,134,-1,-3,noble
30,30,30,-2,-3,noble
114,101,100,-2,-3,noble
65,65,60,-2,-3,noble
